Entry, Equivalents, Codes
-A | [OF,] | [(131, 222, 25), (132, 222, 25)]
-AMYI | [BY,] | [(131, 222, '***'), (132, 222, '***')]
BO- | [BATTLE] | ['***', 222, '***']
BOLJSH- | [A LARGE,LARGE] | [('***', '***', '***'), ('***', '***', '***')]
BOYETS | [FIGHTER] | ['***', 241, '***']
BYENZYIN | [GASOLINE] | ['***', 241, 21]
BYETON- | [CONCRETE] | ['***', '***', '***']
DLYIN- | [LENGTH] | ['***', '***', '***']
DOBIVAYUT | [THEY OBTAIN] | [110, '***', '***']
DOMA | [AT HOME,HOUSES] | [(151, 241, '***'), (152, 241, '***')]
DOROGI | [ROADS] | ['***', 241, '***']
DUG- | [ARC] | ['***', '***', '***']
DYINAMYIT | [DYNAMITE] | ['***', 241, 21]
FAKTOR- | [FACTOR] | ['***', '***', '***']
FYEDYERATSYIYA | [A FEDERATION,THE FEDERATION] | [('***', '***', '***'), ('***', '***', '***')]
GRAZHDANSK | [CIVIL] | ['***', '***', '***']
-I | [OF,] | [(131, '***', 25), (132, '***', 25)]
-IM | [BY,] | [(131, '***', 23), (132, '***', 23)]
-IMYI | [BY,] | [(131, 222, 23), (132, 222, 23)]
-IX | [OF,] | [(131, 222, 23), (132, 222, 23)]
-IY | [] | ['***', '***', '***']
-IYE | [] | ['***', 222, '***']
-JYU | [BY,] | [(131, '***', '***'), (132, '***', '***')]
K | [TO,FOR] | [(121, '***', 23), (122, '***', 23)]
KACHYESTVO | [QUALITY,THE QUALITY] | [(151, 222, '***'), (152, 222, '***')]
KALORYIYNOST- | [CALORY CONTENT] | ['***', '***', '***']
KALORYIYNOSTJ | [CALORY CONTENT] | ['***', '***', '***']
KAMN- | [STONE] | ['***', '***', '***']
KAMYENN- | [STONY,] | [(151, '***', '***'), (152, '***', '***')]
KARTOFYEL- | [POTATOES] | ['***', '***', '***']
KLYINOM | [BY A WEDGE,IN WEDGE FORMATION] | [(131, '***', '***'), (132, '***', '***')]
KRAXMAL | [STARCH] | ['***', '***', 21]
KYIRPYICH- | [BRICK] | ['***', '***', '***']
KYISLORODN- | [OXYGEN] | ['***', '***', '***']
LYISHYENYI- | [DEPRIVAL] | ['***', 221, '***']
MATYERYIAL- | [MATERIAL] | ['***', '***', '***']
MI | [WE] | ['***', '***', 23]
MISLYI | [THOUGHTS] | ['***', '***', '***']
MNOG- | [MANY] | ['***', '***', '***']
MYEDJ | [COPPER] | ['***', '***', 21]
MYEST- | [PLACE,SITE] | [(151, '***', 23), (152, '***', 23)]
MYEXANYICHYESK- | [MECHANICAL] | ['***', 242, '***']
MYEZHDUNARODN- | [INTERNATIONAL] | ['***', '***', '***']
NA | [ON,FOR] | [(121, '***', 23), (122, '***', 23)]
NAUKA | [A SCIENCE,THE SCIENCE] | [('***', 242, '***'), ('***', 242, '***')]
NYEFT- | [CRUDE OIL] | ['***', '***', '***']
NYITROGLYITSYERYIN- | [NITROGLYCERINE] | ['***', '***', '***']
NYIVYELYIROVANYI- | [LEVELLING] | ['***', '***', '***']
O | [ABOUT,OF] | [(141, '***', 23), (142, '***', 23)]
OBRABOTKA | [PROCESSING] | ['***', '***', '***']
-OGO | [OF,] | [(131, '***', 23), (132, '***', 23)]
-OM | [BY,] | [(131, '***', '***'), (132, '***', '***')]
OPRYEDYELYAYET | [DETERMINES] | ['***', '***', '***']
OPRYEDYELYAYETSYA | [IS DETERMINED] | ['***', '***', '***']
OPTYICHYESK- | [OPTICAL] | ['***', '***', '***']
OTDYEL- | [SECTION] | ['***', '***', '***']
OTDYELYENYIYE | [DIVISION,SQUAD] | [(121, 242, '***'), (122, 242, '***')]
OTNOSHYENYI- | [RELATION,THE RELATION] | [(151, '***', '***'), (152, '***', '***')]
-OV | [OF,] | [(131, 222, '***'), (132, 222, '***')]
-OYE | [] | ['***', '***', '***']
POGOD- | [WEATHER] | ['***', '***', '***']
POLUCHAYET | [GETS] | ['***', '***', '***']
POLYITYICHYESK- | [POLITICAL] | ['***', '***', '***']
PONYIMANYIYE | [UNDERSTANDING] | ['***', 242, '***']
POSLYEDN- | [LAST,LATEST] | [('***', '***', '***'), ('***', '***', '***')]
POSRYEDSTVOM | [BY MEANS OF] | ['***', '***', 23]
POVISHAYET | [INCREASES,IMPROVES] | [(121, '***', '***'), (122, '***', '***')]
POZDNO | [LATE] | ['***', '***', '***']
PRAV | [OF RIGHTS,RIGHTS] | [(131, '***', '***'), (132, '***', '***')]
PRAVO | [RIGHT,LAW] | [(141, 242, '***'), (142, 242, '***')]
PRYI | [AT,IN] | [(121, '***', 23), (122, '***', 23)]
PROTSYESS- | [PROCESS] | ['***', '***', '***']
PRYIGOTOVLYAYETSYA | [IS PREPARED,PREPARES SELF] | [(141, '***', '***'), (142, '***', '***')]
PRYIGOTOVLYAYUT | [THEY PREPARE] | [110, '***', '***']
PRYIGOVORYIL | [SENTENCED] | ['***', '***', 23]
PRYIMYES- | [ADMIXTURE] | ['***', '***', '***']
PSHYENYITS- | [WHEAT] | ['***', '***', '***']
PUT- | [PATH,METHOD] | [(141, '***', '***'), (142, '***', '***')]
PYERYEDAYEM | [WE TRANSMIT,TRANSMIT] | [(131, '***', '***'), (132, '***', '***')]
PYERYEDAYET | [TRANSMITS] | ['***', '***', '***']
PYERYEGOVORI | [NEGOTIATIONS] | [110, 241, '***']
PYERYEMYIRYI- | [AN ARMSTICE,THE ARMSTICE] | [('***', '***', '***'), ('***', '***', '***')]
RABOT- | [WORK] | ['***', 222, '***']
RADYIOSTANTSYIYA | [A RADIO STATION,THE RADIO STATION] | [('***', '***', '***'), ('***', '***', '***')]
RADYIUS- | [RADIUS] | ['***', 221, '***']
RINK- | [THE MARKET] | ['***', '***', '***']
RUD- | [ORE] | ['***', '***', '***']
RYECH- | [SPEECH] | ['***', '***', '***']
RYESHYENYI- | [SOLUTION,DECISION] | [(121, 221, '***'), (122, 221, '***')]
S | [WITH] | ['***', '***', 23]
SHTAT- | [STATE,STATES] | [(121, '***', '***'), (122, '***', '***')]
SOOBSHCHYENYIYA | [COMMUNICATIONS] | ['***', 241, '***']
SOSTOYIT | [CONSISTS] | ['***', '***', '***']
SOYEDYINYENYI- | [COMPOUND,COMPOUNDS] | [(121, 242, '***'), (122, 242, '***')]
SPROS- | [THE DEMAND] | ['***', '***', '***']
SPYIRT | [ALCOHOL] | ['***', '***', 21]
STROYATSYA | [ARE CONSTRUCTED,LINE UP] | [(141, 242, 25), (142, 242, 25)]
STROYITSYA | [IS CONSTRUCTED,LINES UP] | [(141, 222, 23), (142, 222, 23)]
SYELITR- | [SALTPETER] | ['***', '***', '***']
SYERZHANT- | [A SERGEANT,THE SERGEANT] | [('***', '***', '***'), ('***', '***', '***')]
TOL | [T.N.T] | ['***', 241, 21]
TSYEL- | [TARGET,] | [(131, '***', 25), (132, '***', 25)]
TSYENA | [PRICE,THE PRICE] | [(151, '***', '***'), (152, '***', '***')]
-U | [TO,] | [(131, '***', '***'), (132, '***', '***')]
UGL- | [COAL,ANGLE] | [(121, '***', 25), (122, '***', 25)]
UGOL | [ANGLE] | ['***', '***', '***']
UGOLOVN- | [PENAL] | ['***', 242, '***']
UTROM | [IN THE MORNING] | ['***', '***', '***']
V | [IN,TO] | [(121, '***', 23), (122, '***', 23)]
VAZHN- | [AN IMPORTANT,IMPORTANT] | [('***', '***', '***'), ('***', '***', '***')]
VIRABATIVAYETSYA | [IS PRODUCED] | ['***', '***', '***']
VIRABATIVAYUT | [THEY PRODUCE] | [110, '***', '***']
VLADYIMYIR | [VLADIMIR] | ['***', 241, '***']
VOPROS- | [QUESTION,QUESTIONS] | [(121, '***', '***'), (122, '***', '***')]
VOYSKA | [TROOPS] | ['***', 242, '***']
VOZVISHYENYIYE | [ELEVATION] | ['***', '***', '***']
VYEDUTSYA | [ARE CONDUCTED] | ['***', '***', 21]
VYELYICHYINA | [MAGNITUDE] | ['***', '***', '***']
XYIMYI- | [CHEMISTRY] | ['***', '***', '***']
XYIMYICHYESK- | [CHEMICAL] | ['***', 242, '***']
-Y | [OF,] | [(131, 222, '***'), (132, 222, '***')]
-YA | [OF,] | [(131, 221, 25), (132, 221, 25)]
YAVLYAYETSYA | [APPEARS,CONSTITUTES] | [(141, '***', 23), (142, '***', 23)]
-YAX | [] | ['***', 222, '***']
-YE | [TO,] | [(131, 221, '***'), (132, 221, '***')]
-YEM | [BY,] | [(131, '***', '***'), (132, '***', '***')]
-YI | [OF,] | [(131, '***', 25), (132, '***', 25)]
-YIM | [BY,] | [(131, '***', 23), (132, '***', 23)]
-YIX | [OF,] | [(131, 222, 23), (132, 222, 23)]
-YIYE | [] | ['***', 222, '***']
YIZ | [OUT OF] | ['***', '***', 23]
YIZMYERYENYI- | [MEASUREMENT] | ['***', '***', '***']
YIZVYESTYIYA | [BULLETINS] | ['***', '***', '***']
-YU | [TO,] | [(131, '***', '***'), (132, '***', '***')]
ZAKONODATYELJSTV- | [LEGISTLATION] | ['***', '***', '***']
ZHALOVANYIYE | [SALARY] | ['***', '***', '***']
ZHYELYEZO | [IRON] | ['***', '***', 21]
